Packet Size,Source IP,Destination IP,Source Port,Destination Port
1433.1964366537518,143.65.76.250,215.88.73.163,6660,11800
1376.5533658196503,199.143.149.147,179.212.37.234,12617,32840
586.7301153703944,60.93.217.161,209.239.223.119,49971,15220
72.41209396685777,49.224.241.35,57.8.207.95,3916,53146
1396.061915752202,172.102.218.11,117.222.110.20,22696,43136
670.8670150601058,99.200.110.206,124.231.53.119,6836,16982
1451.6494876133208,74.194.174.9,12.177.17.64,32109,24393
1447.2489667794166,3.85.26.72,42.94.157.147,63665,12713
1286.863710427672,48.194.198.156,238.11.98.178,1678,18355
476.95089350089927,117.221.154.153,71.108.58.34,55657,38552
608.3917064727916,12.133.226.48,251.20.50.102,18167,60085
1284.1481736994424,37.207.44.228,216.138.160.52,56958,14460
509.5369074766026,15.43.176.87,15.229.84.131,2822,1090
295.7644826948341,70.46.242.108,37.126.249.40,38951,31749
857.3618305646078,123.171.237.21,72.40.236.56,61339,26236
1407.4244225331324,151.107.247.80,151.104.139.110,30111,58681
1059.243205178711,47.117.124.143,192.136.93.94,12642,61765
876.5886966295792,25.36.203.51,56.60.138.39,9470,34356
190.90591596761436,15.68.21.141,28.49.164.125,22670,59969
941.7604787137961,214.19.34.78,13.224.36.101,37615,26425
1485.5780826511818,125.196.240.117,26.86.4.223,49891,65017
253.12182209295983,52.238.27.157,82.192.166.127,52052,14417
801.5779959274182,239.156.35.136,88.127.120.215,61125,4694
1322.1909542955354,144.106.164.158,22.130.31.119,28224,26625
1124.1144957435965,146.2.177.77,11.220.46.96,30595,3275
1060.6728244431386,132.90.89.94,190.197.192.230,23562,46741
1068.6019217813084,203.7.95.108,10.168.128.238,41579,34596
571.262169268645,74.39.141.159,152.99.172.112,62489,28051
475.7081741835154,71.191.56.241,60.190.87.145,44988,32870
1223.5736754438446,170.189.42.184,65.247.223.223,21924,22039
1224.6644222848122,36.84.196.118,234.57.183.106,53910,10607
1307.2548619411505,7.54.129.172,181.184.226.9,59612,51411
1374.1988012068834,120.173.106.47,22.141.89.176,23380,24128
791.4464783483598,123.141.119.150,18.115.204.168,24047,13248
777.1986272964394,118.21.214.220,145.143.106.15,55532,61648
1207.528009501824,137.26.9.15,207.63.247.167,40172,57082
992.4476996277594,10.216.122.121,13.81.32.137,18416,39808
1067.85197202367,125.170.72.152,40.148.218.219,21722,31860
1203.8993706823464,208.49.154.91,213.82.77.208,43494,30323
1340.507745635471,37.68.50.152,201.191.76.172,27559,14060
540.0929774347269,19.100.60.167,38.211.188.71,52684,20957
594.5952813279188,202.89.146.147,249.227.48.18,54934,13416
186.27381276926005,164.202.225.183,144.183.39.196,36474,65006
888.5062044444522,242.69.175.49,187.89.224.62,57487,8962
102.11629700527602,227.108.226.161,232.141.109.81,34781,5165
725.1171262920673,119.149.209.150,241.229.134.211,13500,24374
836.8347203259862,176.37.143.163,77.249.188.90,42238,10570
465.4848155860124,220.199.160.11,14.95.54.132,62531,6359
906.7082278250656,138.201.78.77,252.39.72.25,5735,6101
94.22536241162167,253.185.254.153,77.160.187.230,7503,47039
104.1548736863609,2.64.35.7,191.166.120.220,32414,6635
1242.7708129565044,85.146.67.42,53.222.195.156,57140,60204
572.2764300463311,118.125.167.169,131.237.246.226,14185,41881
234.23774334523293,241.203.231.24,208.150.96.253,33176,36684
807.2527270794664,188.46.19.68,166.200.247.72,15659,60864
1166.4906519929857,218.102.42.32,62.185.6.206,41867,60951
362.9404898704226,167.109.238.36,32.99.138.131,31321,60926
953.1911899375503,232.229.97.164,187.76.177.59,21860,6601
173.75382424096358,131.73.136.97,31.93.69.190,25855,21026
124.93849569448116,123.70.169.231,52.89.127.169,2031,51735
820.4642157738145,196.13.49.60,31.254.213.250,56672,40475
833.9209263346545,130.188.5.172,84.231.127.150,27355,35299
974.2733571723995,27.160.149.8,132.13.45.127,41480,50127
1102.8324338978593,230.200.50.67,170.114.177.20,11787,29671
1464.985515220675,246.44.125.58,244.205.81.182,4932,35855
798.6355050367332,3.86.70.130,164.225.129.143,28597,53818
518.2868857648066,215.172.2.102,205.17.152.58,20211,35792
1203.0199824146202,209.35.98.215,72.242.219.109,12981,31986
442.7067643300076,30.116.8.150,23.174.72.8,5403,64437
686.5085600231723,44.186.36.197,59.218.111.187,28983,49358
163.76175294628564,77.221.31.47,13.167.229.241,17506,30607
86.75857795241339,249.55.208.106,156.217.189.16,58564,2318
1445.8402012829913,190.158.121.55,119.2.246.210,28129,16120
1262.1711747426984,144.12.145.144,145.30.103.13,1901,37857
1059.162598835862,140.136.212.3,96.242.221.238,49377,47882
642.9817694006913,144.30.237.23,94.82.13.171,19276,28352
301.27676410272636,92.115.104.118,213.94.149.112,32358,25422
276.8337118730748,5.212.104.248,55.81.168.211,20073,60121
412.85220233866323,108.65.121.30,116.143.201.180,18796,62578
846.3786638238747,149.84.198.150,202.108.223.53,52591,51779
1086.1640879150905,210.200.231.32,215.128.180.158,58937,18730
1007.2861962407103,161.245.16.204,161.57.52.137,3661,23364
455.9041505716171,38.244.226.253,182.111.1.44,8266,64908
1434.5546569616315,142.36.225.151,227.75.98.208,43049,19849
1119.9505292088643,114.237.66.105,9.32.15.140,42405,18506
853.813376141531,85.2.219.249,225.237.206.249,36675,55249
936.9950820398108,201.193.75.67,185.136.72.155,34996,59873
658.4200905202954,180.190.151.154,190.12.65.107,17952,10342
409.2099347766783,196.210.55.6,232.42.190.115,29766,42280
566.1603840443292,163.150.171.143,139.103.171.95,12855,45033
1148.8768601733352,86.60.101.244,17.225.160.250,49256,44209
70.87055851314601,234.12.239.49,221.213.85.168,51399,16598
218.30532873502855,42.166.82.173,151.56.134.86,20580,49094
116.70383093154149,35.158.216.234,178.102.165.237,26367,15674
109.0567633625067,158.206.134.67,192.243.54.200,23858,47142
1290.4178468159605,80.7.180.14,233.177.227.115,62025,29954
1070.3038961010343,73.143.149.163,139.88.49.149,47786,21195
737.5520521766215,66.91.130.163,115.194.63.104,40312,64518
191.85953294395213,210.206.20.210,83.103.156.251,34446,35888
762.843018919407,10.25.194.25,17.6.147.184,24229,12825
736.5340676318202,253.54.33.164,230.28.194.38,19854,52384
301.142711369522,95.14.65.110,119.37.115.244,56068,23396
679.0848913950609,80.54.238.125,68.214.218.177,9436,17583
627.8318648761915,180.131.227.169,43.164.58.13,4690,33358
942.9826421757139,134.25.141.117,52.58.32.209,38069,40961
970.8857937580835,226.136.149.226,105.228.247.188,21810,14312
115.69081416946455,196.25.79.68,238.83.186.252,52745,23422
593.1882912083832,173.188.12.32,99.238.104.184,6539,11718
957.4968777856427,128.96.92.141,251.28.129.170,42997,13215
779.5475749411272,31.78.20.146,210.48.40.97,27651,19075
1291.9102697230674,221.60.191.134,191.204.200.216,16222,62739
1005.1057658474703,160.93.43.254,208.114.132.166,5009,11761
286.2549192680731,130.60.151.211,236.155.137.111,46927,26275
152.3246837306233,31.243.5.211,144.184.76.31,41959,51999
981.5079533991576,162.10.89.130,216.119.142.237,30499,6171
88.44140028535162,126.11.178.253,25.34.67.250,41240,51532
899.3745928465218,159.56.207.201,152.254.118.234,54486,53248
1413.3338500661885,215.83.137.99,73.26.148.192,20427,20667
884.4375579200245,149.73.156.190,104.10.211.67,4705,39991
612.8463929994567,238.115.7.80,152.5.195.186,27043,34338
982.7679167414121,144.252.97.4,27.208.113.15,54372,39023
714.4666912126991,4.103.40.17,163.204.105.181,28610,41757
841.1443445081056,101.103.124.52,44.26.175.162,50748,19491
1415.1239727259615,221.52.164.124,215.95.178.84,43316,35832
609.8488248111227,166.231.178.63,140.215.132.87,38545,54710
1443.7263175446756,229.116.191.62,176.183.112.129,40874,2776
1362.7584308362925,253.227.7.155,246.89.66.158,37794,59983
333.89714544447986,92.214.14.199,131.122.149.217,6653,2873
150.5738862689899,229.253.86.133,84.177.116.214,28734,3666
196.12810199726866,254.183.130.62,213.190.253.225,31352,2624
76.42164719474711,219.149.246.230,116.38.253.143,13302,61764
186.94229309609617,79.149.138.215,250.250.110.180,9441,47743
1040.3598214537174,58.120.167.133,207.46.25.21,54376,21810
153.22354026733203,65.13.213.218,216.121.122.133,35789,45589
512.5146639259539,242.237.213.181,70.113.107.112,9987,21207
1275.069200905709,82.229.173.160,108.47.215.196,49576,50794
83.7443068169475,164.209.227.241,91.18.149.220,57598,2156
1230.9792997539569,188.139.191.149,227.214.104.151,38316,39283
458.6894234214299,52.183.117.26,192.195.40.242,26033,32100
221.33900005140157,254.196.34.52,138.89.180.241,63694,64692
1060.2688897780185,112.252.82.232,200.247.203.61,28699,63843
961.9671278308318,227.233.221.180,192.5.122.237,61097,39587
1322.3344196142268,157.166.42.21,181.55.37.56,37199,27715
1115.8530135156343,42.141.113.105,187.237.102.93,7755,44323
1215.0473490580305,192.17.120.137,197.73.59.240,41587,11955
458.9501302283944,169.129.130.60,2.193.104.188,12356,62644
307.28733848059807,48.29.97.10,51.30.11.220,59233,8657
1138.3913898792446,242.58.188.232,108.76.167.90,20201,64945
1219.9103719375328,21.28.203.247,205.123.200.191,24742,51663
1486.2324559009762,34.8.187.214,192.189.125.182,3935,58024
648.2956315215683,200.177.79.145,220.122.94.201,58128,38801
589.4262243995356,188.87.88.173,103.223.186.213,19823,59925
1175.7987930758954,211.69.160.172,184.239.162.247,50426,35905
544.1651333668758,193.87.101.8,31.52.89.76,16218,2068
1399.5981221251689,77.200.249.87,129.183.22.40,5975,47715
1294.6984901723672,43.129.109.179,101.111.129.65,41890,36223
672.0413396937766,152.227.152.17,249.191.234.182,29357,25387
1138.7630482976713,133.148.21.232,170.149.79.209,22697,47718
1144.0871674227894,58.159.110.228,22.166.99.237,49909,2606
199.52960981210228,139.180.143.211,208.8.190.175,41894,15398
1358.7017146853716,135.243.28.51,17.17.246.90,57433,2332
782.6159400493929,235.186.5.5,141.145.166.81,63024,22325
1248.3633258562254,94.246.96.8,240.78.173.6,6589,9817
514.071921494387,64.138.38.111,163.110.14.239,23845,2644
1348.5086813194907,224.112.220.81,72.189.143.54,26518,63248
614.3424341645365,223.136.104.153,253.27.13.241,34965,57679
65.71459464643263,73.194.207.178,159.245.248.163,61571,30907
1362.8038658079322,195.49.36.126,60.6.197.214,9648,38558
182.36568133989365,68.78.105.169,58.49.151.217,48186,55538
513.0047745061015,217.122.119.190,162.26.47.5,47048,38984
1427.589852223667,114.10.149.164,218.20.134.198,1859,40414
1428.3803630594564,140.91.232.2,59.192.242.146,60614,7117
881.4849377787649,118.13.181.160,132.17.249.14,19670,56880
966.1639576462089,95.144.32.32,206.13.135.128,59265,50276
700.2460068685637,124.226.11.10,44.119.143.19,12848,56833
475.15561896219356,15.17.168.146,63.235.239.236,38359,23283
526.5635907863782,183.201.153.232,163.81.163.147,4839,21679
1025.1517613117057,59.78.124.250,148.100.163.160,50422,34029
1140.943067684636,217.114.22.244,122.176.44.104,3453,32653
1197.7896134024804,158.212.213.172,152.61.125.145,42974,24634
1194.946307052103,32.179.174.113,71.107.50.65,61678,58208
182.24884942060103,120.149.227.122,99.32.164.141,42910,22626
766.9094418187432,32.222.119.39,198.58.128.142,45422,21433
133.46020202413422,241.12.233.175,165.112.207.239,55463,12134
846.8168793694165,18.149.141.254,254.68.40.187,3631,7097
690.2192269913967,149.126.136.46,208.220.144.190,26674,36334
1337.1710649995346,104.238.135.151,132.173.90.28,39722,16306
558.8267682005142,236.224.203.86,96.237.194.31,33377,11219
219.7471738200285,150.235.89.22,3.246.136.24,37814,2561
257.337938976612,92.29.13.210,15.171.159.201,13015,18162
1154.1904159903347,2.29.213.207,231.45.194.8,22192,45352
946.4161918085786,180.27.50.95,71.248.108.115,32123,60626
196.62788037804586,207.243.151.88,103.234.125.57,40409,47226
171.95486886674627,44.205.22.171,208.227.30.202,36943,41188
1066.4052406157239,165.189.97.184,230.146.114.197,32440,62033
155.5063592280806,3.191.118.19,117.221.167.60,61806,25231
1241.6970859710166,23.157.30.39,98.171.126.173,6604,55683
1074.0512293769195,108.111.25.128,151.197.94.134,8078,21643
167.95573193075467,229.111.136.106,184.122.253.238,25114,50716
173.01468542352828,186.144.72.129,108.4.93.151,41411,55686
1480.6273888267044,108.5.3.193,6.32.106.146,16847,25869
592.6926538463745,132.104.227.224,15.168.122.96,47039,25334
587.4311132469918,64.106.98.235,201.229.202.212,38365,38923
1228.5593725233787,217.10.149.128,6.112.120.123,16363,31586
1423.510437206595,46.231.219.155,191.67.106.139,65437,29060
1479.7015425431628,66.169.112.13,43.145.96.132,4515,61776
1142.3983686254653,137.244.164.86,191.196.81.41,1730,9721
595.5763990198278,234.90.58.54,211.133.160.214,32981,18537
171.0760392130697,12.209.206.14,248.198.35.22,16752,44063
1176.8630280947834,121.162.181.121,193.212.150.112,8021,4169
859.6861621169173,20.75.144.243,247.11.205.251,39025,28842
665.1219134081156,223.247.70.56,234.3.137.60,61432,31568
1364.2138583873673,211.101.186.132,76.87.14.225,59121,63556
211.23634934391944,111.125.132.20,18.113.251.233,65014,14124
764.3064012217458,138.24.246.227,73.23.202.83,39547,58729
66.46278491275766,154.37.230.213,125.175.69.47,57136,21128
729.5579308914831,54.232.103.149,116.215.30.25,26187,59824
131.63974973866416,202.38.174.4,156.226.237.248,18742,63392
222.2859785887043,188.57.173.20,112.239.25.74,22996,5091
220.4130578268021,17.119.71.4,206.234.249.238,19255,37987
